TEXTURE AT STRAIN =    1.0000
   2.645   2.883   0.108  <-- length of phase ellipsoid axes
  139.95  134.46 -168.78  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
  107.44    4.55 -104.77   0.0003500
