TEXTURE AT STRAIN =    1.0000
   2.172   3.169   0.123  <-- length of phase ellipsoid axes
  -51.74    1.06 -175.77  <-- Euler angles (deg) of phase ellipsoid axes
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
  135.00   54.08 -134.76   0.0003500
