TEXTURE AT STRAIN =    1.0000
   1.971   3.329   0.133  <-- length of phase ellipsoid axes
  131.44   12.35 -175.94  <-- Euler angles (deg) of phase ellipsoid axes
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
  129.03   12.03 -128.95   0.0003500
