TEXTURE AT STRAIN =    0.7500
   1.971   3.329   0.133  <-- length of phase ellipsoid axes
  146.30    1.47  169.20  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
  131.55    1.03 -131.51   0.0003500
