TEXTURE AT STRAIN =    0.9000
   2.723   2.741   0.109  <-- length of phase ellipsoid axes
  125.51    0.23    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
  132.32   50.95 -134.07   0.0003500
