TEXTURE AT STRAIN =    0.8500
   2.159   3.248   0.122  <-- length of phase ellipsoid axes
  -24.55    1.14  -17.62  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
  144.85   56.06 -134.89   0.0003500
