TEXTURE AT STRAIN =    0.0500
   1.091   1.155   0.775  <-- length of phase ellipsoid axes
  -19.87    2.61  -20.88  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
  115.44   22.29 -113.75   0.0003500
