TEXTURE AT STRAIN =    0.1500
   1.000   1.027   0.974  <-- length of phase ellipsoid axes
  105.80   22.29  -86.13  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
  110.00  115.42 -125.73   0.0016500
