TEXTURE AT STRAIN =    0.2500
   1.661   2.021   0.263  <-- length of phase ellipsoid axes
  -36.78    1.90   -2.05  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
  130.76   53.75 -133.44   0.0003500
