TEXTURE AT STRAIN =    0.5000
   2.673   2.816   0.109  <-- length of phase ellipsoid axes
  -30.91    0.78    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
  120.36   50.47 -132.23   0.0003500
