TEXTURE AT STRAIN =    0.1500
   1.000   1.030   0.970  <-- length of phase ellipsoid axes
  113.39   15.09  -83.63  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
  120.00  105.15 -125.84   0.0016500
