TEXTURE AT STRAIN =    0.3000
   1.812   2.244   0.214  <-- length of phase ellipsoid axes
  -58.72    1.84 -174.71  <-- Euler angles (deg) of phase ellipsoid axes
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
  151.59   53.81 -140.54   0.0003500
