  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  22.000   0.240   0.233   0.471
   0.025  22.000   0.237   0.237   0.473
   0.050  21.000   0.232   0.239   0.473
   0.075  21.000   0.226   0.239   0.471
   0.100  18.000   0.220   0.235   0.462
   0.125  19.000   0.217   0.233   0.456
   0.150  20.000   0.221   0.237   0.464
   0.175  22.000   0.219   0.236   0.462
   0.200  23.000   0.214   0.232   0.453
   0.225  22.000   0.207   0.224   0.439
   0.250  21.000   0.198   0.215   0.420
   0.275  21.000   0.187   0.204   0.398
   0.300  22.000   0.177   0.192   0.375
   0.325  22.000   0.167   0.180   0.353
   0.350  22.000   0.157   0.169   0.331
   0.375  21.000   0.149   0.159   0.312
   0.400  21.000   0.141   0.151   0.296
   0.425  21.000   0.135   0.143   0.281
   0.450  21.000   0.129   0.136   0.269
   0.475  21.000   0.131   0.138   0.272
   0.500  21.000   0.132   0.140   0.275
   0.525  21.000   0.133   0.141   0.278
   0.550  21.000   0.134   0.143   0.280
   0.575  21.000   0.135   0.144   0.282
   0.600  21.000   0.136   0.145   0.284
   0.625  21.000   0.137   0.145   0.286
   0.650  21.000   0.137   0.146   0.287
   0.675  21.000   0.138   0.147   0.288
   0.700  21.000   0.138   0.147   0.289
   0.725  21.000   0.138   0.148   0.290
   0.750  21.000   0.139   0.148   0.291
   0.775  21.000   0.139   0.149   0.292
   0.800  21.000   0.139   0.149   0.293
   0.825  21.000   0.140   0.149   0.293
   0.850  21.000   0.140   0.150   0.294
   0.875  21.000   0.140   0.150   0.294
   0.900  21.000   0.140   0.150   0.295
   0.925  21.000   0.140   0.150   0.295
   0.950  21.000   0.141   0.151   0.295
   0.975  21.000   0.141   0.151   0.296
   1.000  21.000   0.141   0.151   0.296
