TEXTURE AT STRAIN =    0.6500
   1.151   1.179   0.734  <-- length of phase ellipsoid axes
   84.71    6.45  -70.96  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
  100.56  136.70 -130.97   0.0016500
