TEXTURE AT STRAIN =    0.6000
   2.775   2.805   0.105  <-- length of phase ellipsoid axes
   -6.52    0.29    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
  141.28   52.07 -138.55   0.0003500
