TEXTURE AT STRAIN =    0.1500
   1.000   1.041   0.960  <-- length of phase ellipsoid axes
  149.89    5.18 -108.84  <-- Euler angles (deg) of phase ellipsoid axes
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
  130.97   94.94 -112.42   0.0016500
