  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  19.000   0.217   0.221   0.440
   0.025  18.000   0.221   0.227   0.451
   0.050  19.000   0.224   0.234   0.463
   0.075  21.000   0.224   0.237   0.467
   0.100  21.000   0.223   0.238   0.468
   0.125  23.000   0.221   0.238   0.466
   0.150  23.000   0.218   0.235   0.460
   0.175  23.000   0.213   0.230   0.451
   0.200  23.000   0.206   0.223   0.437
   0.225  23.000   0.197   0.214   0.418
   0.250  23.000   0.187   0.203   0.396
   0.275  21.000   0.176   0.191   0.374
   0.300  21.000   0.166   0.180   0.352
   0.325  21.000   0.156   0.170   0.332
   0.350  21.000   0.147   0.161   0.314
   0.375  21.000   0.140   0.152   0.297
   0.400  21.000   0.133   0.145   0.282
   0.425  21.000   0.127   0.138   0.269
   0.450  21.000   0.121   0.132   0.258
   0.475  21.000   0.117   0.127   0.247
   0.500  21.000   0.117   0.127   0.249
   0.525  20.000   0.118   0.128   0.250
   0.550  20.000   0.119   0.129   0.252
   0.575  20.000   0.120   0.129   0.254
   0.600  21.000   0.121   0.130   0.255
   0.625  21.000   0.122   0.131   0.257
   0.650  21.000   0.123   0.132   0.259
   0.675  21.000   0.124   0.133   0.261
   0.700  21.000   0.125   0.134   0.263
   0.725  21.000   0.126   0.135   0.264
   0.750  21.000   0.127   0.136   0.266
   0.775  21.000   0.128   0.137   0.268
   0.800  21.000   0.129   0.137   0.270
   0.825  21.000   0.129   0.138   0.271
   0.850  21.000   0.130   0.139   0.273
   0.875  21.000   0.131   0.140   0.275
   0.900  21.000   0.132   0.141   0.276
   0.925  21.000   0.132   0.142   0.278
   0.950  21.000   0.133   0.142   0.279
   0.975  21.000   0.134   0.143   0.281
   1.000  21.000   0.134   0.144   0.282
