TEXTURE AT STRAIN =    0.0500
   1.000   1.012   0.988  <-- length of phase ellipsoid axes
  -22.35    5.25   72.42  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
  140.00   84.98 -125.31   0.0016500
