TEXTURE AT STRAIN =    1.0000
   2.322   3.100   0.117  <-- length of phase ellipsoid axes
 -171.30   56.47  118.72  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
  107.82   13.98 -137.50   0.0003500
