TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  151.53  101.24   90.30  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
  150.00   22.50 -150.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.085   1.157   0.779  <-- length of phase ellipsoid axes
  -60.55    2.83 -167.26  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
  145.39   24.20 -146.42   0.0003500
