TEXTURE AT STRAIN =    0.7000
   1.153   1.156   0.746  <-- length of phase ellipsoid axes
   20.45    2.38  100.63  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
 -146.24   11.87 -119.02   0.0016500
