TEXTURE AT STRAIN =    0.2500
   1.007   1.014   0.978  <-- length of phase ellipsoid axes
   68.21   13.13   -0.87  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
   70.07  155.19 -125.05   0.0016500
