TEXTURE AT STRAIN =    0.5500
   1.122   1.125   0.790  <-- length of phase ellipsoid axes
  -20.24   11.59  -25.42  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
  169.59   37.27 -104.13   0.0016500
