TEXTURE AT STRAIN =    0.8000
   1.198   1.246   0.667  <-- length of phase ellipsoid axes
  -11.03   13.01    5.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
  176.23   27.48 -101.27   0.0016500
