TEXTURE AT STRAIN =    0.4000
   2.503   2.528   0.131  <-- length of phase ellipsoid axes
  117.35    0.02    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
  139.39   85.38 -144.57   0.0003500
