TEXTURE AT STRAIN =    1.0000
   2.496   3.014   0.111  <-- length of phase ellipsoid axes
  -49.91   34.55 -175.20  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
  141.56   15.81 -143.15   0.0003500
