TEXTURE AT STRAIN =    0.8000
   2.599   2.882   0.111  <-- length of phase ellipsoid axes
  127.32    0.78    0.00  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
  157.79   50.29 -140.42   0.0003500
