TEXTURE AT STRAIN =    0.6000
   1.140   1.147   0.759  <-- length of phase ellipsoid axes
  110.97   11.35   11.62  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
  100.78  143.71 -103.16   0.0016500
