TEXTURE AT STRAIN =    0.9000
   1.241   1.294   0.615  <-- length of phase ellipsoid axes
   83.59   11.28    0.88  <-- Euler angles (deg) of phase ellipsoid axes
B       500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
   91.12  149.39 -132.25   0.0016500
