TEXTURE AT STRAIN =    1.0000
   2.171   3.179   0.123  <-- length of phase ellipsoid axes
   71.54   56.23   71.31  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
  148.96   11.61 -132.16   0.0003500
