TEXTURE AT STRAIN =    0.8500
   2.097   3.254   0.126  <-- length of phase ellipsoid axes
  -59.55    1.10 -169.02  <-- Euler angles (deg) of phase ellipsoid axes
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
  125.19   55.87 -135.11   0.0003500
