TEXTURE AT STRAIN =    0.9500
   2.185   3.165   0.123  <-- length of phase ellipsoid axes
  -45.96    1.08 -179.56  <-- Euler angles (deg) of phase ellipsoid axes
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
  136.11   54.63 -134.89   0.0003500
