TEXTURE AT STRAIN =    0.2000
   1.433   1.770   0.360  <-- length of phase ellipsoid axes
  -47.38    2.12 -177.67  <-- Euler angles (deg) of phase ellipsoid axes
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
  136.06   46.19 -134.88   0.0003500
