TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  119.74  101.07   -1.99  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
  130.00   22.50 -130.00   0.0003500
TEXTURE AT STRAIN =    0.0500
   1.092   1.156   0.774  <-- length of phase ellipsoid axes
  -46.31    2.45    1.50  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
  132.16   25.20 -131.63   0.0003500
