TEXTURE AT STRAIN =    0.5500
   1.909   3.227   0.142  <-- length of phase ellipsoid axes
  122.83    1.56   11.56  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
  101.75    1.43 -102.05   0.0003500
