  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  26.000   0.221   0.220   0.441
   0.025  26.000   0.224   0.230   0.457
   0.050  26.000   0.225   0.237   0.466
   0.075  28.000   0.223   0.239   0.469
   0.100  30.000   0.220   0.238   0.465
   0.125  30.000   0.215   0.233   0.455
   0.150  29.000   0.206   0.224   0.438
   0.175  28.000   0.195   0.213   0.415
   0.200  28.000   0.183   0.199   0.388
   0.225  28.000   0.169   0.184   0.359
   0.250  27.000   0.156   0.169   0.331
   0.275  28.000   0.144   0.155   0.304
   0.300  27.000   0.133   0.143   0.280
   0.325  28.000   0.124   0.131   0.258
   0.350  28.000   0.116   0.121   0.239
   0.375  27.000   0.110   0.112   0.223
   0.400  27.000   0.105   0.106   0.212
   0.425  25.000   0.102   0.103   0.206
   0.450  25.000   0.101   0.102   0.204
   0.475  25.000   0.102   0.102   0.204
   0.500  24.000   0.103   0.103   0.206
   0.525  25.000   0.106   0.105   0.211
   0.550  25.000   0.110   0.107   0.216
   0.575  27.000   0.113   0.110   0.221
   0.600  27.000   0.116   0.112   0.226
   0.625  28.000   0.119   0.114   0.231
   0.650  29.000   0.122   0.116   0.236
   0.675  29.000   0.125   0.118   0.241
   0.700  29.000   0.128   0.121   0.246
   0.725  28.000   0.130   0.123   0.251
   0.750  28.000   0.132   0.126   0.255
   0.775  25.000   0.133   0.129   0.260
   0.800  25.000   0.134   0.131   0.264
   0.825  26.000   0.135   0.134   0.268
   0.850  25.000   0.135   0.136   0.271
   0.875  22.000   0.136   0.137   0.274
   0.900  21.000   0.139   0.139   0.278
   0.925  21.000   0.142   0.143   0.285
   0.950  22.000   0.144   0.147   0.292
   0.975  21.000   0.145   0.150   0.298
   1.000  21.000   0.145   0.153   0.301
