TEXTURE AT STRAIN =    0.3000
   1.987   2.200   0.196  <-- length of phase ellipsoid axes
  -36.04    1.14  165.51  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
  140.36   53.46 -135.32   0.0003500
