  STRAIN   AVACS   MODE1   MODE2   MODE3
   0.000  27.000   0.215   0.215   0.431
   0.025  28.000   0.219   0.217   0.436
   0.050  28.000   0.220   0.217   0.436
   0.075  26.000   0.218   0.215   0.432
   0.100  24.000   0.212   0.211   0.423
   0.125  20.000   0.204   0.207   0.412
   0.150  19.000   0.200   0.210   0.415
   0.175  21.000   0.198   0.214   0.418
   0.200  21.000   0.196   0.212   0.415
   0.225  22.000   0.191   0.207   0.405
   0.250  23.000   0.183   0.199   0.389
   0.275  22.000   0.175   0.189   0.370
   0.300  22.000   0.165   0.179   0.350
   0.325  22.000   0.155   0.169   0.329
   0.350  22.000   0.146   0.159   0.310
   0.375  22.000   0.138   0.150   0.293
   0.400  22.000   0.131   0.142   0.277
   0.425  22.000   0.124   0.135   0.263
   0.450  22.000   0.118   0.128   0.251
   0.475  21.000   0.113   0.123   0.240
   0.500  22.000   0.113   0.123   0.240
   0.525  22.000   0.114   0.123   0.240
   0.550  22.000   0.114   0.123   0.241
   0.575  22.000   0.114   0.123   0.241
   0.600  22.000   0.114   0.123   0.241
   0.625  22.000   0.114   0.123   0.241
   0.650  22.000   0.114   0.123   0.241
   0.675  22.000   0.114   0.124   0.242
   0.700  22.000   0.114   0.124   0.242
   0.725  22.000   0.114   0.124   0.242
   0.750  22.000   0.115   0.124   0.243
   0.775  22.000   0.115   0.124   0.243
   0.800  22.000   0.115   0.124   0.244
   0.825  22.000   0.115   0.125   0.244
   0.850  22.000   0.116   0.125   0.245
   0.875  22.000   0.116   0.126   0.246
   0.900  22.000   0.116   0.126   0.246
   0.925  22.000   0.117   0.127   0.247
   0.950  22.000   0.117   0.127   0.248
   0.975  22.000   0.118   0.128   0.249
   1.000  22.000   0.118   0.128   0.250
