TEXTURE AT STRAIN =    0.2000
   1.003   1.015   0.982  <-- length of phase ellipsoid axes
    4.95   21.70   85.37  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
  179.96   44.40 -125.37   0.0016500
